target_id	gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
lcl|NC_010612.1_cds_WP_012393404.1_1562	MMAR_RS07745	MMAR_RS07745	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	SDR family NAD(P)-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_012393405.1_1563	MMAR_RS07750	MMAR_RS07750	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TetR/AcrR family transcriptional regulator
lcl|NC_010612.1_cds_WP_020732315.1_1564	MMAR_RS07755	MMAR_RS07755	0.00	2.00	0.00	1.00	5.00	0.00	0.00	0.00	0.00	DUF732 domain-containing protein
lcl|NC_010612.1_cds_WP_012393407.1_1565	MMAR_RS07760	MMAR_RS07760	0.00	1.00	4.00	0.00	2.00	0.00	3.00	3.00	2.00	patatin-like phospholipase family protein
lcl|NC_010612.1_cds_WP_012393408.1_1566	MMAR_RS07765	MMAR_RS07765	1.00	0.00	4.00	2.00	3.00	1.00	5.00	5.00	2.00	Rv3090 family protease
lcl|NC_010612.1_cds_WP_012393409.1_1567	MMAR_RS07770	MMAR_RS07770	0.00	2.00	3.00	0.00	3.00	0.00	3.00	3.00	0.00	protein adenylyltransferase SelO
lcl|NC_010612.1_cds_WP_012393410.1_1568	MMAR_RS07775	MMAR_RS07775	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	DUF4267 domain-containing protein
lcl|NC_010612.1_cds_WP_012393411.1_1569	MMAR_RS07780	MMAR_RS07780	1.00	2.00	2.00	1.00	1.00	0.00	3.00	3.00	3.00	LLM class F420-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_012393412.1_1570	MMAR_RS07785	MMAR_RS07785	2.00	0.00	2.00	0.00	0.00	1.00	2.00	2.00	2.00	DUF2750 domain-containing protein
lcl|NC_010612.1_cds_WP_012393413.1_1571	MMAR_RS07790	MMAR_RS07790	7.00	11.00	6.00	5.00	10.00	2.00	7.00	7.00	0.00	sulfatase-like hydrolase/transferase
lcl|NC_010612.1_cds_WP_020727104.1_1572	MMAR_RS07795	MMAR_RS07795	1.00	1.00	1.00	0.00	0.00	0.00	4.00	4.00	2.00	SRPBCC family protein
lcl|NC_010612.1_cds_WP_012393415.1_1573	MMAR_RS07800	MMAR_RS07800	1.00	0.00	0.00	2.00	2.00	1.00	0.00	0.00	4.00	amidohydrolase
lcl|NC_010612.1_cds_WP_012393416.1_1574	MMAR_RS07805	MMAR_RS07805	0.00	0.00	0.00	2.00	0.00	1.00	1.00	1.00	0.00	phytoene desaturase family protein
lcl|NC_010612.1_cds_WP_012393417.1_1575	MMAR_RS07810	MMAR_RS07810	10.00	7.00	1.00	1.00	4.00	1.00	0.00	0.00	7.00	DUF3556 domain-containing protein
lcl|NC_010612.1_cds_WP_012393418.1_1576	MMAR_RS07815	MMAR_RS07815	2.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	1.00	PucR family transcriptional regulator
lcl|NC_010612.1_cds_WP_020732326.1_1577	MMAR_RS07820	MMAR_RS07820	4.00	2.00	3.00	3.00	5.00	3.00	6.00	6.00	3.00	HpcH/HpaI aldolase/citrate lyase family protein
lcl|NC_010612.1_cds_WP_012393420.1_1578	MMAR_RS07825	MMAR_RS07825	0.00	2.00	7.00	1.00	7.00	5.00	4.00	4.00	0.00	HNH endonuclease
lcl|NC_010612.1_cds_WP_011741222.1_1579	MMAR_RS07830	MMAR_RS07830	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	DUF488 domain-containing protein
lcl|NC_010612.1_cds_WP_012393421.1_1580	MMAR_RS07835	MMAR_RS07835	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	LLM class F420-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_012393422.1_1581	MMAR_RS07840	MMAR_RS07840	4.00	1.00	1.00	4.00	3.00	1.00	4.00	4.00	4.00	GNAT family N-acetyltransferase
