gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS03620	thiD	MEgreen	Cellular Respiration & Shear Adaptation	19.502	10.544	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
MMAR_RS23545	MMAR_RS23545	MEblue	Lipid & Fatty Acid Metabolic Process	13.177	4.495	hypothetical protein
MMAR_RS07475	MMAR_RS07475	MEblue	Lipid & Fatty Acid Metabolic Process	28.229	14.271	hypothetical protein
MMAR_RS18515	MMAR_RS18515	MEblue	Lipid & Fatty Acid Metabolic Process	8.266	4.139	sulfate/molybdate ABC transporter ATP-binding protein
MMAR_RS13910	MMAR_RS13910	MEyellow	Response to Stress & Redox Homeostasis	10.518	2.403	class I SAM-dependent methyltransferase
MMAR_RS09685	MMAR_RS09685	MEyellow	Response to Stress & Redox Homeostasis	9.86	6.226	acyl-CoA dehydrogenase family protein
MMAR_RS25070	MMAR_RS25070	MEturquoise	Cell Surface & Biofilm Organization	18.717	13.547	amidohydrolase family protein
MMAR_RS23345	MMAR_RS23345	MEturquoise	Cell Surface & Biofilm Organization	6.781	5.606	putative endonuclease domain-containing protein
MMAR_RS21625	MMAR_RS21625	MEturquoise	Cell Surface & Biofilm Organization	10.195	8.194	PE family protein
MMAR_RS19080	MMAR_RS19080	MEgreen	Cellular Respiration & Shear Adaptation	12.509	8.586	MFS transporter
MMAR_RS04550	MMAR_RS04550	MEbrown	Transmembrane Transport & Secretion	10.102	4.85	cation:proton antiporter
MMAR_RS14365	MMAR_RS14365	MEbrown	Transmembrane Transport & Secretion	12.689	8.509	virulence factor Mce family protein
MMAR_RS04290	MMAR_RS04290	MEturquoise	Cell Surface & Biofilm Organization	12.277	11.369	cytochrome c biogenesis CcdA family protein
MMAR_RS03815	MMAR_RS03815	MEblue	Lipid & Fatty Acid Metabolic Process	9.581	4.745	TetR/AcrR family transcriptional regulator
MMAR_RS04940	MMAR_RS04940	MEturquoise	Cell Surface & Biofilm Organization	12.894	6.78	crotonase/enoyl-CoA hydratase family protein
MMAR_RS18690	MMAR_RS18690	MEblue	Lipid & Fatty Acid Metabolic Process	20.12	11.69	class I SAM-dependent methyltransferase
