gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
MMAR_RS12265	MMAR_RS12265	8.4680	5.6221	8.0815	9.2203	7.9288	8.5674	5.4136	5.4136	5.8550	PE family protein
MMAR_RS29735	MMAR_RS29735	5.1823	0.0000	0.0000	5.9199	0.0000	6.7695	0.0000	0.0000	5.8550	PE family protein
MMAR_RS12285	argC	6.1623	6.6074	6.5072	4.9436	6.9348	5.7827	6.9758	6.9758	5.8550	N-acetyl-gamma-glutamyl-phosphate reductase
MMAR_RS12290	argJ	7.7338	7.1874	7.4992	6.4969	0.0000	7.3501	7.3880	7.3880	8.1568	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
MMAR_RS12295	argB	6.7406	6.6074	8.3031	0.0000	6.1362	0.0000	7.3880	7.3880	5.8550	acetylglutamate kinase
MMAR_RS12300	MMAR_RS12300	0.0000	7.9204	7.4992	4.9436	5.7280	0.0000	8.5531	8.5531	7.4232	acetylornithine transaminase
MMAR_RS12305	argF	5.1823	8.1824	7.0868	0.0000	0.0000	0.0000	7.3880	7.3880	6.8425	ornithine carbamoyltransferase
MMAR_RS12310	MMAR_RS12310	6.1623	6.6074	0.0000	0.0000	4.1965	0.0000	6.3965	6.3965	0.0000	arginine repressor
MMAR_RS12315	MMAR_RS12315	6.7406	8.7657	7.4992	7.4889	6.4540	5.7827	8.5531	8.5531	8.1568	argininosuccinate synthase
MMAR_RS12320	argH	6.1623	8.1824	8.3031	7.4889	5.7280	0.0000	6.9758	6.9758	6.8425	argininosuccinate lyase
MMAR_RS12325	MMAR_RS12325	9.4660	8.7657	8.9536	10.5693	9.8450	9.4587	8.3836	8.3836	9.0026	type III polyketide synthase
MMAR_RS12330	MMAR_RS12330	8.9523	8.7657	9.1941	8.9862	8.8192	8.9291	8.5531	8.5531	8.8330	type I polyketide synthase
MMAR_RS12335	MMAR_RS12335	7.4721	8.5962	6.5072	6.4969	4.1965	0.0000	7.3880	7.3880	7.8362	type I polyketide synthase
